source_row,id,datetime_clean,datetime_source,conversion_needed,conversion_step,timestamp_status,timestamp_issue_codes,datetime_utc_reference,selected_minus_reference_seconds,time_policy_version,localtimes_raw,datetime_raw,lat_raw,lng_raw,lat_clean,lon_clean,coordinate_check,datetime_local,datetime_utc,previous_datetime_local,clock_change_seconds,local_date_changed,utc_date_changed,expected_weather_hours_10_preceding_days
2,9815166,2020-05-04T07:57:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-04T05:57:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-04T05:57:00+00:00,50.768278,6.108504,50.768278,6.108504,within_broad_germany_bounds,2020-05-04 07:57:00,2020-05-04T05:57:00Z,2020-05-04T05:57:00+02:00,7200.0,False,False,264
3,9814704,2020-05-08T22:21:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-08T20:21:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-08T20:21:00+00:00,50.768074,6.235814,50.768074,6.235814,within_broad_germany_bounds,2020-05-08 22:21:00,2020-05-08T20:21:00Z,2020-05-08T20:21:00+02:00,7200.0,False,False,264
4,9814726,2020-05-09T07:06:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-09T05:06:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-09T05:06:00+00:00,50.768361,6.236973,50.768361,6.236973,within_broad_germany_bounds,2020-05-09 07:06:00,2020-05-09T05:06:00Z,2020-05-09T05:06:00+02:00,7200.0,False,False,264
5,9814099,2020-05-17T14:00:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-17T12:00:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-17T12:00:00+00:00,50.84599744277373,6.091588530192236,50.84599744277373,6.091588530192236,within_broad_germany_bounds,2020-05-17 14:00:00,2020-05-17T12:00:00Z,2020-05-17T12:00:00+02:00,7200.0,False,False,264
6,9814098,2020-05-17T14:00:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-17T12:00:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-17T12:00:00+00:00,50.84597010060523,6.091586613670335,50.84597010060523,6.091586613670335,within_broad_germany_bounds,2020-05-17 14:00:00,2020-05-17T12:00:00Z,2020-05-17T12:00:00+02:00,7200.0,False,False,264
7,9814090,2020-05-18T07:51:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-18T05:51:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-18T05:51:00+00:00,50.768255653783896,6.10853784504275,50.768255653783896,6.10853784504275,within_broad_germany_bounds,2020-05-18 07:51:00,2020-05-18T05:51:00Z,2020-05-18T05:51:00+02:00,7200.0,False,False,264
8,9814093,2020-05-18T07:51:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-18T05:51:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-18T05:51:00+00:00,50.768241874234064,6.108538174644456,50.768241874234064,6.108538174644456,within_broad_germany_bounds,2020-05-18 07:51:00,2020-05-18T05:51:00Z,2020-05-18T05:51:00+02:00,7200.0,False,False,264
9,9814094,2020-05-18T07:51:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-18T05:51:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-18T05:51:00+00:00,50.76825092107591,6.108529340530335,50.76825092107591,6.108529340530335,within_broad_germany_bounds,2020-05-18 07:51:00,2020-05-18T05:51:00Z,2020-05-18T05:51:00+02:00,7200.0,False,False,264
10,9814096,2020-05-18T07:51:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-18T05:51:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-18T05:51:00+00:00,50.76823408679523,6.108542598245663,50.76823408679523,6.108542598245663,within_broad_germany_bounds,2020-05-18 07:51:00,2020-05-18T05:51:00Z,2020-05-18T05:51:00+02:00,7200.0,False,False,264
11,9814091,2020-05-18T07:57:00+02:00,datetime,True,utc_instant_to_Europe/Berlin,validated,,2020-05-18T05:57:00+00:00,0,german-local-priority-utc-fallback-v2,,2020-05-18T05:57:00+00:00,50.76849451685519,6.107906658093922,50.76849451685519,6.107906658093922,within_broad_germany_bounds,2020-05-18 07:57:00,2020-05-18T05:57:00Z,2020-05-18T05:57:00+02:00,7200.0,False,False,264
