grid_100m_id,conflict_recordings,lrt_polygons_with_positive_area,lrt_boundary_contacts_only,has_majority_table_entry
100mN27348E43450,3,0,0,False
100mN27349E43437,2,0,0,False
100mN27542E43123,1,0,0,False
100mN27770E44389,3,0,0,False
100mN27770E44391,3,0,0,False
100mN27771E44390,3,0,0,False
100mN27773E44390,1,0,0,False
100mN27787E44412,3,0,0,False
100mN27798E44364,3,0,0,False
100mN27806E44396,1,0,0,False
100mN27806E44404,3,0,0,False
100mN27809E44364,1,0,0,False
100mN27809E44388,1,0,0,False
100mN27811E44402,1,0,0,False
100mN27812E44389,1,0,0,False
100mN27814E44387,1,0,0,False
100mN27817E44385,1,0,0,False
100mN27818E44292,1,0,0,False
100mN27819E44292,2,0,0,False
100mN27829E44385,1,0,0,False
100mN27832E44398,3,0,0,False
100mN27846E44401,1,0,0,False
100mN28200E44050,1,0,0,False
100mN29534E40682,1,0,0,False
100mN29579E43140,1,0,0,False
100mN29629E43121,1,0,0,False
100mN29631E43047,1,0,0,False
100mN29849E43958,1,0,0,False
100mN29991E42290,1,0,0,False
